WEEK,COUNTRY,EVENT_TYPE,FATALITIES,POPULATION_EXPOSURE,country_name,year,representation_est,free_express_est,civil_lib_est,rule_law_est
4-Jan-20,Belgium,Protests,0,11508.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
11-Jan-20,Belgium,Protests,0,23210.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
18-Jan-20,Belgium,Protests,0,89603.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
25-Jan-20,Belgium,Protests,0,131864.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
1-Feb-20,Belgium,Protests,0,23210.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
8-Feb-20,Belgium,Protests,0,62450.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
15-Feb-20,Belgium,Protests,0,104438.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
22-Feb-20,Belgium,Protests,0,11508.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
29-Feb-20,Belgium,Protests,0,37977.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
7-Mar-20,Belgium,Protests,0,26275.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
14-Mar-20,Belgium,Protests,0,47683.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
28-Mar-20,Belgium,Protests,0,52967.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
2-May-20,Belgium,Protests,0,11508.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
9-May-20,Belgium,Protests,0,43031.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
16-May-20,Belgium,Protests,0,16831.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
23-May-20,Belgium,Protests,0,11508.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
30-May-20,Belgium,Protests,0,75940.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
6-Jun-20,Belgium,Protests,0,30162.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
13-Jun-20,Belgium,Protests,0,223557.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
20-Jun-20,Belgium,Protests,0,171957.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
27-Jun-20,Belgium,Protests,0,26275.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
4-Jul-20,Belgium,Protests,0,24536.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
11-Jul-20,Belgium,Protests,0,56540.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
18-Jul-20,Belgium,Protests,0,33053.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
25-Jul-20,Belgium,Protests,0,76177.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
1-Aug-20,Belgium,Protests,0,47683.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
8-Aug-20,Belgium,Protests,0,23210.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
15-Aug-20,Belgium,Protests,0,26275.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
22-Aug-20,Belgium,Protests,0,70893.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
29-Aug-20,Belgium,Protests,0,188788.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
5-Sep-20,Belgium,Protests,0,11508.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
12-Sep-20,Belgium,Protests,0,47820.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
19-Sep-20,Belgium,Protests,0,56755.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
26-Sep-20,Belgium,Protests,0,85660.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
3-Oct-20,Belgium,Protests,0,73958.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
10-Oct-20,Belgium,Protests,0,59605.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
17-Oct-20,Belgium,Protests,0,26275.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
24-Oct-20,Belgium,Protests,0,106234.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
31-Oct-20,Belgium,Protests,0,64475.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
7-Nov-20,Belgium,Protests,0,70826.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
14-Nov-20,Belgium,Protests,0,26275.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
21-Nov-20,Belgium,Protests,0,79242.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
28-Nov-20,Belgium,Protests,0,59605.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
5-Dec-20,Belgium,Protests,0,37977.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
12-Dec-20,Belgium,Protests,0,37977.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
19-Dec-20,Belgium,Protests,0,11508.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
26-Dec-20,Belgium,Protests,0,31523.0,Belgium,2020,0.8696360661988539,0.8118333912438307,0.8471652863428142,0.778576024643079
2-Jan-21,Belgium,Protests,0,26375.0,Belgium,2021,0.8745080605894363,0.7951588094869979,0.8376530889757088,0.784271984428946
9-Jan-21,Belgium,Protests,0,23299.0,Belgium,2021,0.8745080605894363,0.7951588094869979,0.8376530889757088,0.784271984428946
16-Jan-21,Belgium,Protests,0,36255.0,Belgium,2021,0.8745080605894363,0.7951588094869979,0.8376530889757088,0.784271984428946
23-Jan-21,Belgium,Protests,0,11552.0,Belgium,2021,0.8745080605894363,0.7951588094869979,0.8376530889757088,0.784271984428946
30-Jan-21,Belgium,Protests,0,26375.0,Belgium,2021,0.8745080605894363,0.7951588094869979,0.8376530889757088,0.784271984428946
